Player Name,Player Nationality,Position,Appearances,Minutes Played,Goals,Assists,Clean Sheets,Yellow Cards,Red Cards,Passes,Touches,Shots,Hit Woodwork,Big Chances Missed,Offsides,Tackles,Fouls,Dispossessed,Own Goals,Clearances,Clearances off Line,Saves,Penalties Saved,High Claims,Punches
Robert Sanchez,Spain,Goalkeeper,32,"2,880",0,0,10,5,0,"1,052","1,443",0,0,0,0,0,2,0,0,36,0,95,1,47,12
Filip Jörgensen,Denmark,Goalkeeper,6,540,0,0,1,0,0,170,212,0,0,0,0,0,1,0,0,0,0,20,0,2,0
Marc Cucurella,Spain,Defender,36,"2,989",5,1,9,8,1,"1,633","2,321",24,0,2,3,67,37,7,0,80,0,0,0,0,0
Tosin Adarabioyo,England,Defender,22,"1,404",1,1,7,4,0,"1,177","1,348",13,2,2,1,17,8,0,0,79,0,0,0,0,0
Benoit Badiashile,France,Defender,5,333,0,1,0,0,0,303,342,0,0,0,0,9,6,0,0,12,0,0,0,0,0
Levi Colwill,England,Defender,35,"3,149",2,1,10,9,0,"2,595","2,965",17,0,5,5,47,45,8,0,116,1,0,0,0,0
Trevoh Chalobah,England,Defender,13,911,0,1,3,2,0,664,788,7,0,1,0,11,9,2,0,47,0,0,0,0,0
Reece James,England,Defender,19,"1,064",1,1,2,1,0,743,985,11,1,1,0,10,8,9,0,21,1,0,0,0,0
Malo Gusto,France,Defender,32,"1,858",0,1,4,4,0,"1,214","1,656",22,0,2,2,45,20,17,0,40,0,0,0,0,0
Wesley Fofana,France,Defender,14,"1,176",0,0,1,7,0,781,966,3,0,0,0,13,24,5,0,52,0,0,0,0,0
Josh Acheampong,England,Defender,4,169,0,0,0,0,0,123,139,2,0,1,0,2,0,0,0,1,0,0,0,0,0
Axel Disasi,France,Defender,6,365,1,0,1,1,0,276,330,2,0,0,0,7,2,0,0,10,0,0,0,0,0
Renato Veiga,Portugal,Defender,7,177,0,0,1,2,0,132,172,3,0,1,1,9,6,0,0,2,0,0,0,0,0
Enzo Fernandez,Argentina,Midfielder,36,"2,946",6,7,7,8,0,"1,778","2,327",53,0,4,2,65,52,28,0,20,0,0,0,0,0
Cole Palmer,England,Midfielder,37,"3,195",15,8,5,7,0,"1,310","2,005",126,6,14,7,34,15,37,0,19,0,0,0,0,0
Kiernan Dewsbury-Hall,England,Midfielder,13,259,0,1,0,0,0,149,193,1,0,0,0,8,4,3,0,7,0,0,0,0,0
Moises Caicedo,Ecuador,Midfielder,38,"3,356",1,2,10,11,0,"2,153","2,721",20,1,0,0,114,70,25,0,53,0,0,0,0,0
Romeo Lavia,Belgium,Midfielder,16,801,0,1,0,4,0,422,526,2,0,0,0,22,16,7,0,10,0,0,0,0,0
Mathis Amougou,France,Midfielder,1,7,0,0,0,0,0,7,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Joao Felix,Portugal,Midfielder,12,364,1,2,0,2,0,195,296,20,0,4,1,8,6,4,0,2,0,0,0,0,0
Pedro Neto,Portugal,Forward,35,"2,268",4,6,4,8,0,731,"1,244",59,1,3,3,23,21,30,0,4,0,0,0,0,0
Mykhailo Mudryk,Ukraine,Forward,7,145,0,0,0,0,0,35,73,1,0,0,1,2,2,7,0,1,0,0,0,0,0
Noni Madueke,England,Forward,32,"2,046",7,3,3,3,0,599,"1,077",80,4,14,5,25,22,25,0,10,0,0,0,0,0
Nicolas Jackson,Senegal,Forward,30,"2,238",10,5,0,7,1,390,769,76,6,19,23,22,35,41,0,15,0,0,0,0,0
Christopher Nkunku,France,Forward,27,911,3,3,0,2,0,330,486,25,0,6,3,12,16,17,0,9,0,0,0,0,0
Jadon Sancho,England,Forward,31,"1,764",3,4,3,2,0,768,"1,052",24,0,3,6,13,6,21,0,7,0,0,0,0,0
Tyrique George,England,Forward,8,178,1,1,0,1,0,50,73,3,0,1,2,2,3,0,0,1,0,0,0,0,0
Marc Guiu,Spain,Forward,3,71,0,0,0,0,0,16,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Shumaira Mheuka,England,Forward,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
